Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz,=>,Rv[0],Rv[1],Rv[2],Rv[3]
-0.6871354,0.5039791,9.4882145,-1.6,-31.2,-43.2,-0.0063852,-0.0042568,-0.0148988,,0.038015448,-0.023041237,-0.9962994,0.07356253
-0.7026977,0.5075704,9.479835,-1.6,-31.2,-43.2,-0.0063852,-0.0031926,-0.0148988,,0.03797407,-0.022978544,-0.9963128,0.07342308
-0.6883325,0.5075704,9.491806,-1.6,-31.2,-43.2,-0.0074494,-0.0042568,-0.0148988,,0.037942782,-0.022915348,-0.9963256,0.073284276
-0.694318,0.4716574,9.483426,-1.6,-31.8,-43.8,-0.0074494,-0.0021284,-0.0148988,,0.037892696,-0.02282859,-0.9963416,0.073119044
-0.6811499,0.4896139,9.484623,-1.6,-31.8,-43.8,-0.005321,-0.0042568,-0.0148988,,0.037870657,-0.022754692,-0.9963543,0.072981246
-0.6835441,0.4872197,9.514551,-1.6,-30.0,-42.6,-0.0074494,-0.0031926,-0.0148988,,0.0378284,-0.022700137,-0.99636775,0.07283659
-0.7098803,0.4728545,9.489411,-1.6,-30.0,-42.6,-0.0063852,-0.0021284,-0.015963,,0.03779043,-0.02261177,-0.99638325,0.07267062
-0.6895296,0.4932052,9.497791,-1.6,-30.0,-44.4,-0.0074494,-0.0031926,-0.015963,,0.037768967,-0.022546012,-0.9963966,0.07251865
-0.6847412,0.4560951,9.506171,-1.6,-30.0,-44.4,-0.0063852,-0.0031926,-0.0148988,,0.037737127,-0.022471687,-0.9964103,0.072370924
-0.6763615,0.4884168,9.475046,-0.39999998,-30.0,-44.4,-0.0074494,-0.0042568,-0.0170272,,0.03770516,-0.0224078,-0.99642307,0.07223071
-0.6931209,0.4944023,9.490609,-0.39999998,-30.0,-44.4,-0.0074494,-0.0031926,-0.0148988,,0.037655152,-0.022319634,-0.9964409,0.07203817
-0.6739673,0.502782,9.490609,-0.39999998,-30.0,-44.4,-0.0074494,-0.0031926,-0.015963,,0.03762279,-0.022247419,-0.9964538,0.07189927
